iter	Logloss
291	0.4132130098
292	0.4130491093
293	0.412960678
294	0.4128528625
295	0.4128004634
296	0.4126937493
297	0.4125810421
298	0.412531778
299	0.4124175799
300	0.4123267949
301	0.4122478375
302	0.4120875261
303	0.411975464
304	0.4119208045
305	0.4117607177
306	0.4116356838
307	0.4115633347
308	0.411478642
309	0.4113681351
310	0.411276136
311	0.4111636581
312	0.4110924441
313	0.4109832287
314	0.4109227134
315	0.4108315507
316	0.4106712791
317	0.4105700605
318	0.4104712471
319	0.4103629375
320	0.4102453058
321	0.4101865149
322	0.4100955695
323	0.4098819624
324	0.4097903413
325	0.409636859
326	0.4095144845
327	0.409463929
328	0.4093894801
329	0.4093150016
330	0.4092115752
331	0.4091237837
332	0.4089881774
333	0.4089139618
334	0.4088139976
335	0.408701075
336	0.4085503957
337	0.4084598747
338	0.4083752307
339	0.4083009072
340	0.4082617315
341	0.4081636593
342	0.4080748108
343	0.4079592244
344	0.407844849
345	0.407782276
346	0.4076904184
347	0.4076122202
348	0.4075351316
349	0.4073674029
350	0.4072964855
351	0.4072365987
352	0.4071833507
353	0.4071069105
354	0.4070151395
355	0.406943046
356	0.4068810908
357	0.4068064495
358	0.4067611532
359	0.4066609649
360	0.4065379275
361	0.4064502227
362	0.4063138922
363	0.4062178303
364	0.4060800121
365	0.4059533098
366	0.4058365059
367	0.4056510487
368	0.4055422944
369	0.4054397128
370	0.4053437912
371	0.4052632987
372	0.4051298718
373	0.4050952691
374	0.4050225378
375	0.4049285115
376	0.4048227919
377	0.4047819892
378	0.4047073141
379	0.4046002653
380	0.4045125898
381	0.4044661267
382	0.4044075417
383	0.4043706931
384	0.4043120794
385	0.4042207244
386	0.4041242297
387	0.4040884073
388	0.4039465526
389	0.4038851337
390	0.4037780774
391	0.4037070564
392	0.4036337107
393	0.4034615413
394	0.403400968
395	0.4033129686
396	0.4032065836
397	0.4031536303
398	0.4031157133
399	0.4030038073
400	0.4029435084
401	0.4028735288
402	0.402793028
403	0.4026973197
404	0.402604154
405	0.4025488893
406	0.4024354062
407	0.4023397909
408	0.4022005009
409	0.402134979
410	0.4020173294
411	0.4019191125
412	0.4018180778
413	0.4017240663
414	0.4016699855
415	0.4015754513
416	0.4014870579
417	0.4014192552
418	0.4012299009
419	0.4011016899
420	0.4009645771
421	0.4008821534
422	0.400736867
423	0.4006042944
424	0.4005538909
425	0.4004138694
426	0.4003168277
427	0.4002071054
428	0.4001283106
429	0.4000438364
430	0.3999996614
431	0.3999675937
432	0.3998799709
433	0.3996757345
434	0.3995335939
435	0.3994709239
436	0.3993741691
437	0.3992458834
438	0.3991234413
439	0.3990308403
440	0.3988308114
441	0.3986147253
442	0.3985384192
443	0.3984923067
444	0.3984081528
445	0.3983429666
446	0.3982866189
447	0.3982233387
448	0.3981736978
449	0.3980626376
450	0.3979613426
451	0.3978286786
452	0.3977777992
453	0.3976990474
454	0.3976128987
455	0.3975274352
456	0.3974401754
457	0.3973174613
458	0.3972501887
459	0.3971074355
460	0.3970187433
461	0.3968514671
462	0.3967246441
463	0.3966223484
464	0.3964592941
465	0.3964004781
466	0.3963381414
467	0.3962407459
468	0.3961575829
469	0.3960889326
470	0.3958984042
471	0.3958301279
472	0.395773979
473	0.3956864395
474	0.3956368768
475	0.3955328317
476	0.3954345775
477	0.3953750134
478	0.3952639709
479	0.3952034324
480	0.3951122999
481	0.3950381582
482	0.3949334489
483	0.3948735872
484	0.3948126835
485	0.3946702538
486	0.3945601681
487	0.3944388158
488	0.3944049698
489	0.3943112335
490	0.394269146
491	0.3942148496
492	0.3941739309
493	0.3941400649
494	0.3941110188
495	0.3939944993
496	0.3938759057
497	0.3937738223
498	0.3936777073
499	0.3936255871
500	0.39351915
501	0.3933594514
502	0.393264031
503	0.3932276839
504	0.3931430937
505	0.3930307122
506	0.392977226
507	0.392923394
508	0.3928773281
509	0.3928236206
510	0.3927593947
511	0.3926472278
512	0.3925563574
513	0.3924988458
514	0.3923798875
515	0.3923329112
516	0.3921646496
517	0.3920926457
518	0.3919369787
519	0.3918119933
520	0.3917621075
521	0.3915701236
522	0.3915012623
523	0.3914141325
524	0.3913204607
525	0.3912544339
526	0.391203323
527	0.3911325514
528	0.3910630653
529	0.3909187844
530	0.3908510391
531	0.3907024975
532	0.3906305165
533	0.3904660989
534	0.3904013457
535	0.3903222599
536	0.3902340338
537	0.3901529672
538	0.3901016566
539	0.3899991333
540	0.3898847927
541	0.3897634381
542	0.389713892
543	0.3896177468
544	0.3895166808
545	0.3894677177
546	0.3894088356
547	0.389246298
548	0.3891625691
549	0.389056262
550	0.3889936913
551	0.3889504834
552	0.3888435047
553	0.3887444451
554	0.3886932773
555	0.3886610268
556	0.3885680759
557	0.3884879861
558	0.3883901714
559	0.3882986463
560	0.3882135609
561	0.3881528999
562	0.3881062036
563	0.388059786
564	0.387999537
565	0.3879585483
566	0.387807505
567	0.3877125189
568	0.3875517643
569	0.38746265
570	0.3874150297
571	0.3873556663
572	0.387297115
573	0.3872089161
574	0.3871021434
575	0.3870366657
576	0.3869978163
577	0.3869479301
578	0.3868601842
579	0.3867359587
580	0.3866332344
581	0.3864549219
582	0.3863444289
583	0.3863014262
584	0.3861914638
585	0.3861450737
586	0.3860732318
587	0.385974928
588	0.3858584476
589	0.3857488205
590	0.3856256686
591	0.3854835355
592	0.3853815995
593	0.385277678
594	0.385260188
595	0.3851069472
596	0.3850402605
597	0.3849747946
598	0.3848483762
599	0.384795574
600	0.3847441051
601	0.3845445137
602	0.3844915048
603	0.3843862582
604	0.3843046156
605	0.384207003
606	0.3841302003
607	0.3840059678
608	0.3838406311
609	0.3837907167
610	0.3836730716
611	0.3835779797
612	0.3835484933
613	0.3833977708
614	0.3832744913
615	0.3832137095
616	0.383169869
617	0.3831187423
618	0.3830181277
619	0.3829216751
620	0.382784525
621	0.3827075007
622	0.3825850064
623	0.3824872742
624	0.3823823727
625	0.382317351
626	0.3821708906
627	0.3820240311
628	0.381999675
629	0.3819401715
630	0.3818451423
631	0.3817332115
632	0.3816534408
633	0.3815585107
634	0.3814665518
635	0.3813255089
636	0.3812388919
637	0.3811617153
638	0.3811097165
639	0.3810273816
640	0.3809895119
641	0.3809038954
642	0.3808025571
643	0.3806937345
644	0.3806500819
645	0.3804964322
646	0.3804101591
647	0.3803190497
648	0.3801607361
649	0.3801144757
650	0.379996099
651	0.3798830614
652	0.3798106667
653	0.3797591821
654	0.3796794962
655	0.3795865022
656	0.3794381373
657	0.3793692634
658	0.3792822758
659	0.3791075597
660	0.379035594
661	0.3789476801
662	0.3788585468
663	0.3787722872
664	0.3787223534
665	0.3785692368
666	0.3785182835
667	0.3784116857
668	0.3783910366
669	0.3782984747
670	0.3782348907
671	0.378096824
672	0.377953712
673	0.3778295196
674	0.3777240778
675	0.3776547505
676	0.3775774886
677	0.3774478923
678	0.3773707134
679	0.3773028143
680	0.3772616411
681	0.3771545874
682	0.3771232299
683	0.3770266148
684	0.3769023136
685	0.3768222729
686	0.3767525044
687	0.3766711351
688	0.3765247992
689	0.3764495896
690	0.3764022997
691	0.3763757423
692	0.3763212643
693	0.3762566693
694	0.3761727108
695	0.3760914346
696	0.3759912017
697	0.3759026489
698	0.3758502661
699	0.3757450242
700	0.3756708379
701	0.3755839567
702	0.3755038811
703	0.3754520069
704	0.3753361569
705	0.3752172928
706	0.3751176263
707	0.375005087
708	0.3749568236
709	0.3749182463
710	0.3747973289
711	0.3747675059
712	0.3747257323
713	0.3746631095
714	0.3745533491
715	0.3744889865
716	0.3744132939
717	0.3743080242
718	0.3742740341
719	0.374142858
720	0.374076456
721	0.3739265188
722	0.373818877
723	0.3736229009
724	0.3735376433
725	0.3734205895
726	0.3733502066
727	0.3732526769
728	0.3731619364
729	0.3731015542
730	0.3729669403
731	0.3729083604
732	0.3728496614
733	0.3727307425
734	0.3726815964
735	0.3725681366
736	0.3724247298
737	0.3723461018
738	0.3722103282
739	0.3721323672
740	0.3719898199
741	0.3719526663
742	0.371839674
743	0.3717479439
744	0.3716922918
745	0.3715915736
746	0.3715177371
747	0.3714649942
748	0.371349985
749	0.3712962663
750	0.3712116262
751	0.3711782546
752	0.3710876566
753	0.3709593401
754	0.3708771719
755	0.3708068818
756	0.3707560518
757	0.370701272
758	0.3706246459
759	0.3706039566
760	0.370523875
761	0.3703967839
762	0.370290449
763	0.37017652
764	0.3700697993
765	0.3699824415
766	0.3698674286
767	0.3697896483
768	0.3697263732
769	0.3696852897
770	0.3695433661
771	0.3694545981
772	0.369343193
773	0.3692306015
774	0.3692093751
775	0.369105391
776	0.3689629339
777	0.3689094094
778	0.3688470543
779	0.3686894489
780	0.3686231225
781	0.3685242502
782	0.3684682021
783	0.3684461362
784	0.3683769243
785	0.3682816575
786	0.3682011172
787	0.3681534603
788	0.3680635628
789	0.3679873281
790	0.3678710152
791	0.3678348719
792	0.3677629134
793	0.3677053649
794	0.3676616292
795	0.3675757437
796	0.3675334556
797	0.367464135
798	0.3673963384
799	0.3673500052
800	0.3672750267
801	0.3671597102
802	0.3670598906
803	0.366983465
804	0.3668773863
805	0.3667747753
806	0.3667301162
807	0.3666816935
808	0.3666011239
809	0.366470808
810	0.3663726397
811	0.3663212615
812	0.3662070413
813	0.3660521272
814	0.3659504755
815	0.3659186689
816	0.3658298551
817	0.3657401679
818	0.3656704415
819	0.3655412614
820	0.365485942
821	0.3653773315
822	0.3652615706
823	0.3652328434
824	0.3651860208
825	0.3651175476
826	0.3650329378
827	0.3648774586
828	0.3647764681
829	0.3647257131
830	0.3646196115
831	0.3645451654
832	0.3644562662
833	0.3643616892
834	0.3643264695
835	0.36424386
836	0.3641550697
837	0.3641124243
838	0.364025982
839	0.3639791949
840	0.363885526
841	0.3638195659
842	0.3637382771
843	0.3636157832
844	0.3634927949
845	0.3634648208
846	0.3634192556
847	0.3632461379
848	0.3631878927
849	0.3630254939
850	0.362913587
851	0.3628113154
852	0.362706724
853	0.3626369038
854	0.3625347623
855	0.3624014123
856	0.3623509854
857	0.3622425953
858	0.3621751826
859	0.3621050674
860	0.3620146273
861	0.3618964562
862	0.3618301994
863	0.3617520318
864	0.3616348282
865	0.3615255592
866	0.3614901657
867	0.3613402035
868	0.3612456512
869	0.3611228414
870	0.3609983088
871	0.3609636509
872	0.3609075524
873	0.360868753
874	0.3607817404
875	0.3606484108
876	0.360579708
877	0.3605043313
878	0.3604188615
879	0.3603382277
880	0.3602553734
881	0.3601432127
882	0.3600638171
883	0.3599651745
884	0.3599109065
885	0.3598203617
886	0.3597500554
887	0.3596572962
888	0.359607032
889	0.3595345341
890	0.3594588098
891	0.3593727341
892	0.3593418013
893	0.3592771313
894	0.3592244641
895	0.3591327717
896	0.3590561785
897	0.3589416499
898	0.3588364688
899	0.3587284441
900	0.3586543855
901	0.3585415903
902	0.3584648698
903	0.3584516316
904	0.3584212278
905	0.3583789764
906	0.3582925133
907	0.3582189032
908	0.3581691606
909	0.35801916
910	0.3579814857
911	0.3579307422
912	0.3578187074
913	0.3576812159
914	0.3575658883
915	0.3574658177
916	0.3573964295
917	0.3573124089
918	0.3572695231
919	0.357228564
920	0.357165535
921	0.3571237741
922	0.3570865907
923	0.3569635468
924	0.356889442
925	0.3567962577
926	0.3567173627
927	0.3566257519
928	0.3565431488
929	0.3565197991
930	0.3564024556
931	0.3563529434
932	0.3562000126
933	0.3561067021
934	0.3559919931
935	0.3558195601
936	0.355767631
937	0.3556898678
938	0.3555769623
939	0.3555303018
940	0.3554662072
941	0.3554270917
942	0.3553907002
943	0.3553410265
944	0.3552543645
945	0.3552076302
946	0.3550923542
947	0.3550239414
948	0.354982711
949	0.3549469275
950	0.354891006
951	0.3547937447
952	0.3547330036
953	0.3546625425
954	0.354622822
955	0.3546018921
956	0.3545474078
957	0.3544618759
958	0.354358928
959	0.3542525191
960	0.3541971141
961	0.3541847345
962	0.3540924778
963	0.354021368
964	0.3539915216
965	0.3538668928
966	0.3537893765
967	0.3537036795
968	0.3536391968
969	0.3536180195
970	0.3535038895
971	0.3533954757
972	0.3533625739
973	0.3532356911
974	0.3531884245
975	0.3530735487
976	0.353008427
977	0.3529433558
978	0.3528386823
979	0.3526871996
980	0.352617244
981	0.352493029
982	0.352450252
983	0.3524193286
984	0.3523533474
985	0.3523509412
986	0.3522294459
987	0.352120981
988	0.3520153679
989	0.3519803458
990	0.351959003
991	0.3518671222
992	0.3518536466
993	0.3517954279
994	0.3517310482
995	0.3516363227
996	0.3515698977
997	0.3514789425
998	0.3514284208
999	0.351331505
